# Mie Scattering                # Version 2-6-2 (02:02:41 10/01/19)
# Oregon Medical Laser Center   # http://omlc.org
# by Scott Prahl                # scott.prahl@oit.edu
#
# radius     	  0.05000	 [microns]     (sphere radius)
# n_medium   	  1.33000	 [---]         (refractive index of medium)
# n_real     	  0.18000	 [---]         (refractive index of sphere)
# n_imag     	 -5.13000	 [---]         (absorption of sphere)
# lambda_vac 	  0.80000	 [microns]     (wavelength in vacuum)
# density    	  0.10000	 [#/micron^3]  (spheres per cubic micron)
#
# lambda     	  0.60150	 [microns]     (wavelength in medium)
# X          	  0.52229	 [---]         (size parameter)
# g          	 -0.05198	 [---]         (average cosine of phase function)
# Qsca       	  0.44414	 [---]         (scattering efficiency)
# Qext       	  0.51773	 [---]         (extinction efficiency)
# Qback      	  0.72332	 [---]         (backscattering efficiency)
# Csca       	0.0034883	 [micron^2]    (scattering cross section)
# Cext       	0.0040662	 [micron^2]    (extinction cross section)
# Cback      	 0.005681	 [micron^2]    (backscattering cross section)
# mu_s       	  0.34883	 [1/mm]        (scattering coefficient)
# mu_s'      	  0.36696	 [1/mm]        (reduced scattering coefficient)
# mu_t       	  0.40662	 [1/mm]        (total attenuation coefficient)
#
#   The second column is normalized so that the integral of it over 
#   4*pi steradians will be unity.  The average of the 3rd & 4th
#   columns is the second.  The next three columns are normalized
#   to the value at 0 degrees. 
#
#       natural      = (|S1|^2+|S2|^2)/2*1/(pi X^2 Qsca)
#       perpen       = |S1|^2/(pi X^2 Qsca)
#       parallel     = |S2|^2/(pi X^2 Qsca)
#       polarization = (|S1|^2-|S2|^2)/(|S1|^2+|S2|^2)
#       S33          =  Real(S2 * S1^*)
#       S34          = -Imag(S2 * S1^*)
#
##theta	 natural 	 perpen 	 parallel	 natural 	 perpen 	 parallel	 polarization 	   S33   	   S34
-122.400	 0.08421	 0.12476	 0.04366	 0.64977	 0.96268	 0.33686	 0.48157	-0.87625	 0.01640
-118.800	 0.08034	 0.12419	 0.03649	 0.61991	 0.95828	 0.28153	 0.54586	-0.83767	 0.01856
-115.200	 0.07666	 0.12360	 0.02971	 0.59151	 0.95373	 0.22928	 0.61238	-0.79029	 0.02079
-111.600	 0.07322	 0.12299	 0.02344	 0.56496	 0.94903	 0.18088	 0.67983	-0.73301	 0.02303
-108.000	 0.07006	 0.12237	 0.01776	 0.54063	 0.94420	 0.13705	 0.74649	-0.66491	 0.02524
-104.400	 0.06724	 0.12173	 0.01276	 0.51885	 0.93926	 0.09843	 0.81029	-0.58540	 0.02735
-100.800	 0.06479	 0.12108	 0.00850	 0.49992	 0.93423	 0.06560	 0.86877	-0.49435	 0.02927
-97.200	 0.06274	 0.12041	 0.00506	 0.48409	 0.92913	 0.03905	 0.91933	-0.39228	 0.03091
-93.600	 0.06112	 0.11975	 0.00249	 0.47158	 0.92398	 0.01918	 0.95932	-0.28047	 0.03219
-90.000	 0.05994	 0.11907	 0.00082	 0.46254	 0.91879	 0.00629	 0.98640	-0.16099	 0.03303
-86.400	 0.05924	 0.11840	 0.00007	 0.45708	 0.91360	 0.00056	 0.99877	-0.03658	 0.03338
-82.800	 0.05900	 0.11773	 0.00027	 0.45525	 0.90842	 0.00208	 0.99544	 0.08946	 0.03320
-79.200	 0.05923	 0.11706	 0.00140	 0.45703	 0.90326	 0.01080	 0.97637	 0.21366	 0.03250
-75.600	 0.05992	 0.11640	 0.00344	 0.46237	 0.89816	 0.02658	 0.94252	 0.33268	 0.03131
-72.000	 0.06106	 0.11575	 0.00637	 0.47114	 0.89314	 0.04914	 0.89570	 0.44366	 0.02970
-68.400	 0.06262	 0.11511	 0.01012	 0.48315	 0.88820	 0.07810	 0.83836	 0.54442	 0.02775
-64.800	 0.06456	 0.11449	 0.01464	 0.49817	 0.88338	 0.11297	 0.77323	 0.63361	 0.02554
-61.200	 0.06686	 0.11388	 0.01985	 0.51592	 0.87869	 0.15316	 0.70314	 0.71067	 0.02319
-57.600	 0.06947	 0.11329	 0.02566	 0.53606	 0.87416	 0.19797	 0.63069	 0.77575	 0.02076
-54.000	 0.07234	 0.11272	 0.03197	 0.55822	 0.86979	 0.24665	 0.55815	 0.82954	 0.01834
-50.400	 0.07542	 0.11218	 0.03867	 0.58198	 0.86562	 0.29835	 0.48736	 0.87305	 0.01599
-46.800	 0.07865	 0.11167	 0.04564	 0.60691	 0.86165	 0.35217	 0.41973	 0.90754	 0.01375
-43.200	 0.08198	 0.11118	 0.05277	 0.63254	 0.85790	 0.40718	 0.35628	 0.93431	 0.01166
-39.600	 0.08533	 0.11073	 0.05993	 0.65841	 0.85440	 0.46242	 0.29767	 0.95462	 0.00973
-36.000	 0.08865	 0.11031	 0.06699	 0.68403	 0.85115	 0.51691	 0.24431	 0.96966	 0.00797
-32.400	 0.09188	 0.10992	 0.07383	 0.70893	 0.84816	 0.56970	 0.19640	 0.98050	 0.00640
-28.800	 0.09495	 0.10957	 0.08033	 0.73264	 0.84545	 0.61984	 0.15397	 0.98806	 0.00501
-25.200	 0.09781	 0.10926	 0.08637	 0.75474	 0.84304	 0.66644	 0.11699	 0.99313	 0.00381
-21.600	 0.10041	 0.10898	 0.09184	 0.77480	 0.84092	 0.70868	 0.08534	 0.99635	 0.00277
-18.000	 0.10270	 0.10875	 0.09665	 0.79245	 0.83912	 0.74579	 0.05889	 0.99826	 0.00191
-14.400	 0.10463	 0.10856	 0.10071	 0.80737	 0.83763	 0.77711	 0.03748	 0.99930	 0.00122
-10.800	 0.10618	 0.10841	 0.10395	 0.81927	 0.83647	 0.80208	 0.02099	 0.99978	 0.00068
-7.200	 0.10730	 0.10830	 0.10630	 0.82794	 0.83564	 0.82024	 0.00930	 0.99996	 0.00030
-3.600	 0.10798	 0.10823	 0.10773	 0.83320	 0.83514	 0.83127	 0.00232	 1.00000	 0.00008
 0.000	 0.10821	 0.10821	 0.10821	 0.83497	 0.83497	 0.83497	 0.00000	 1.00000	-0.00000
 3.600	 0.10798	 0.10823	 0.10773	 0.83320	 0.83514	 0.83127	 0.00232	 1.00000	 0.00008
 7.200	 0.10730	 0.10830	 0.10630	 0.82794	 0.83564	 0.82024	 0.00930	 0.99996	 0.00030
10.800	 0.10618	 0.10841	 0.10395	 0.81927	 0.83647	 0.80208	 0.02099	 0.99978	 0.00068
14.400	 0.10463	 0.10856	 0.10071	 0.80737	 0.83763	 0.77711	 0.03748	 0.99930	 0.00122
18.000	 0.10270	 0.10875	 0.09665	 0.79245	 0.83912	 0.74579	 0.05889	 0.99826	 0.00191
21.600	 0.10041	 0.10898	 0.09184	 0.77480	 0.84092	 0.70868	 0.08534	 0.99635	 0.00277
25.200	 0.09781	 0.10926	 0.08637	 0.75474	 0.84304	 0.66644	 0.11699	 0.99313	 0.00381
28.800	 0.09495	 0.10957	 0.08033	 0.73264	 0.84545	 0.61984	 0.15397	 0.98806	 0.00501
32.400	 0.09188	 0.10992	 0.07383	 0.70893	 0.84816	 0.56970	 0.19640	 0.98050	 0.00640
36.000	 0.08865	 0.11031	 0.06699	 0.68403	 0.85115	 0.51691	 0.24431	 0.96966	 0.00797
39.600	 0.08533	 0.11073	 0.05993	 0.65841	 0.85440	 0.46242	 0.29767	 0.95462	 0.00973
43.200	 0.08198	 0.11118	 0.05277	 0.63254	 0.85790	 0.40718	 0.35628	 0.93431	 0.01166
46.800	 0.07865	 0.11167	 0.04564	 0.60691	 0.86165	 0.35217	 0.41973	 0.90754	 0.01375
50.400	 0.07542	 0.11218	 0.03867	 0.58198	 0.86562	 0.29835	 0.48736	 0.87305	 0.01599
54.000	 0.07234	 0.11272	 0.03197	 0.55822	 0.86979	 0.24665	 0.55815	 0.82954	 0.01834
57.600	 0.06947	 0.11329	 0.02566	 0.53606	 0.87416	 0.19797	 0.63069	 0.77575	 0.02076
61.200	 0.06686	 0.11388	 0.01985	 0.51592	 0.87869	 0.15316	 0.70314	 0.71067	 0.02319
64.800	 0.06456	 0.11449	 0.01464	 0.49817	 0.88338	 0.11297	 0.77323	 0.63361	 0.02554
68.400	 0.06262	 0.11511	 0.01012	 0.48315	 0.88820	 0.07810	 0.83836	 0.54442	 0.02775
72.000	 0.06106	 0.11575	 0.00637	 0.47114	 0.89314	 0.04914	 0.89570	 0.44366	 0.02970
75.600	 0.05992	 0.11640	 0.00344	 0.46237	 0.89816	 0.02658	 0.94252	 0.33268	 0.03131
79.200	 0.05923	 0.11706	 0.00140	 0.45703	 0.90326	 0.01080	 0.97637	 0.21366	 0.03250
82.800	 0.05900	 0.11773	 0.00027	 0.45525	 0.90842	 0.00208	 0.99544	 0.08946	 0.03320
86.400	 0.05924	 0.11840	 0.00007	 0.45708	 0.91360	 0.00056	 0.99877	-0.03658	 0.03338
90.000	 0.05994	 0.11907	 0.00082	 0.46254	 0.91879	 0.00629	 0.98640	-0.16099	 0.03303
93.600	 0.06112	 0.11975	 0.00249	 0.47158	 0.92398	 0.01918	 0.95932	-0.28047	 0.03219
97.200	 0.06274	 0.12041	 0.00506	 0.48409	 0.92913	 0.03905	 0.91933	-0.39228	 0.03091
100.800	 0.06479	 0.12108	 0.00850	 0.49992	 0.93423	 0.06560	 0.86877	-0.49435	 0.02927
104.400	 0.06724	 0.12173	 0.01276	 0.51885	 0.93926	 0.09843	 0.81029	-0.58540	 0.02735
108.000	 0.07006	 0.12237	 0.01776	 0.54063	 0.94420	 0.13705	 0.74649	-0.66491	 0.02524
111.600	 0.07322	 0.12299	 0.02344	 0.56496	 0.94903	 0.18088	 0.67983	-0.73301	 0.02303
115.200	 0.07666	 0.12360	 0.02971	 0.59151	 0.95373	 0.22928	 0.61238	-0.79029	 0.02079
118.800	 0.08034	 0.12419	 0.03649	 0.61991	 0.95828	 0.28153	 0.54586	-0.83767	 0.01856
122.400	 0.08421	 0.12476	 0.04366	 0.64977	 0.96268	 0.33686	 0.48157	-0.87625	 0.01640
126.000	 0.08822	 0.12531	 0.05112	 0.68068	 0.96689	 0.39447	 0.42047	-0.90719	 0.01435
129.600	 0.09230	 0.12583	 0.05878	 0.71222	 0.97090	 0.45354	 0.36321	-0.93163	 0.01241
133.200	 0.09642	 0.12632	 0.06651	 0.74396	 0.97471	 0.51320	 0.31017	-0.95062	 0.01062
136.800	 0.10050	 0.12679	 0.07421	 0.77545	 0.97829	 0.57262	 0.26157	-0.96514	 0.00896
140.400	 0.10449	 0.12722	 0.08177	 0.80629	 0.98163	 0.63095	 0.21747	-0.97604	 0.00746
144.000	 0.10835	 0.12762	 0.08908	 0.83604	 0.98473	 0.68736	 0.17784	-0.98404	 0.00611
147.600	 0.11201	 0.12799	 0.09604	 0.86431	 0.98756	 0.74107	 0.14259	-0.98977	 0.00490
151.200	 0.11544	 0.12832	 0.10256	 0.89073	 0.99012	 0.79133	 0.11159	-0.99375	 0.00384
154.800	 0.11857	 0.12861	 0.10853	 0.91492	 0.99240	 0.83744	 0.08468	-0.99640	 0.00292
158.400	 0.12138	 0.12887	 0.11389	 0.93658	 0.99440	 0.87877	 0.06173	-0.99809	 0.00213
162.000	 0.12382	 0.12909	 0.11855	 0.95542	 0.99610	 0.91475	 0.04257	-0.99909	 0.00147
165.600	 0.12586	 0.12927	 0.12245	 0.97118	 0.99750	 0.94487	 0.02709	-0.99963	 0.00094
169.200	 0.12748	 0.12942	 0.12555	 0.98367	 0.99859	 0.96874	 0.01517	-0.99988	 0.00052
172.800	 0.12865	 0.12952	 0.12779	 0.99270	 0.99937	 0.98603	 0.00672	-0.99998	 0.00023
176.400	 0.12936	 0.12958	 0.12914	 0.99817	 0.99984	 0.99650	 0.00168	-1.00000	 0.00006
180.000	 0.12960	 0.12960	 0.12960	 1.00000	 1.00000	 1.00000	 0.00000	-1.00000	-0.00000
